hash_inn,y
0,52
2,12
19,12
43,22
60,14
79,12
85,14
87,12
93,12
122,12
136,14
137,12
139,12
147,12
164,12
170,14
198,14
199,12
202,12
203,34
213,12
226,12
237,14
239,12
243,12
248,12
260,12
263,52
282,12
288,12
290,12
291,12
294,12
296,12
312,12
315,12
318,12
329,22
336,12
341,12
350,12
356,12
358,12
362,12
366,12
389,12
396,12
397,12
399,12
401,12
415,12
425,34
443,12
472,12
478,12
485,11
493,34
495,12
502,14
517,12
522,12
528,12
540,12
565,12
569,12
575,12
588,12
595,12
608,12
623,12
625,12
628,12
633,12
636,12
653,34
666,12
671,52
679,12
689,12
695,12
696,12
701,12
702,12
703,12
727,12
734,12
737,12
749,34
790,12
791,12
807,12
808,12
818,12
838,11
844,12
855,12
856,52
857,34
861,12
862,12
883,12
887,12
894,12
902,12
903,12
904,12
925,14
935,12
936,12
941,52
947,12
956,12
984,14
988,12
991,14
997,12
998,14
1001,14
1007,14
1009,14
1021,71
1025,12
1031,12
1053,12
1066,52
1075,14
1076,34
1078,12
1092,12
1094,14
1095,52
1097,12
1099,12
1106,26
1107,12
1117,12
1119,39
1122,12
1125,12
1128,12
1134,34
1144,12
1165,12
1184,14
1212,12
1216,12
1245,12
1248,12
1252,14
1254,12
1264,12
1269,12
1272,12
1273,12
1287,12
1289,12
1309,12
1311,12
1323,12
1326,12
1331,12
1334,12
1344,12
1350,14
1352,12
1368,14
1372,12
1382,12
1385,12
1398,52
1410,12
1422,34
1423,12
1429,14
1439,14
1443,12
1446,12
1491,34
1494,11
1495,12
1502,12
1512,12
1513,12
1514,12
1546,12
1556,6
1558,12
1559,12
1572,12
1581,14
1588,12
1591,12
1611,34
1631,6
1650,14
1656,12
1685,12
1698,14
1703,12
1713,12
1719,34
1734,12
1737,12
1739,12
1742,12
1747,12
1748,12
1751,12
1770,26
1780,12
1799,52
1805,12
1822,12
1824,12
1868,12
1873,12
1875,12
1880,12
1886,12
1913,12
1928,12
1933,12
1946,12
1955,12
1967,52
1975,12
1979,12
1983,12
1995,12
1998,12
2009,12
2015,12
2018,14
2046,14
2071,14
2073,34
2077,14
2079,12
2088,47
2095,52
2106,12
2116,12
2120,12
2126,12
2163,12
2165,12
2185,14
2200,12
2215,12
2221,12
2225,12
2234,12
2246,12
2258,12
2267,12
2271,12
2276,12
2289,12
2292,14
2307,52
2309,12
2312,12
2313,12
2321,12
2327,12
2336,12
2350,12
2353,12
2369,12
2371,12
2376,12
2402,12
2414,52
2415,12
2416,12
2425,34
2435,12
2439,52
2441,12
2449,26
2458,12
2467,12
2474,12
2480,12
2485,12
2490,12
2494,12
2498,12
2504,12
2505,12
2526,52
2534,12
2556,12
2564,12
2604,12
2617,12
2623,12
2630,12
2635,12
2643,12
2651,12
2652,12
2659,12
2663,12
2672,12
2678,34
2682,52
2686,12
2687,12
2692,12
2697,12
2699,12
2703,12
2708,12
2717,22
2719,12
2736,12
2752,12
2756,12
2779,34
2788,12
2792,12
2794,14
2802,12
2805,12
2813,12
2815,12
2816,12
2828,12
2834,12
2844,9
2850,12
2855,12
2868,12
2884,12
2891,14
2892,12
2905,14
2909,12
2911,34
2946,12
2948,12
2981,14
2997,12
3010,12
3038,12
3039,12
3062,12
3064,12
3067,12
3070,12
3074,12
3078,12
3082,12
3087,34
3088,12
3096,12
3099,12
3112,12
3115,12
3116,12
3131,12
3137,12
3145,12
3146,16
3147,54
3154,12
3155,14
3186,12
3189,12
3191,12
3193,12
3206,12
3209,12
3216,12
3227,12
3231,12
3238,12
3272,12
3275,12
3282,12
3285,12
3288,12
3312,34
3321,52
3322,12
3340,12
3346,12
3347,12
3349,12
3359,12
3362,12
3372,14
3378,12
3382,12
3384,12
3391,12
3397,12
3399,12
3401,12
3412,12
3418,12
3420,12
3442,12
3453,12
3454,12
3455,12
3460,34
3484,12
3489,12
3494,12
3509,12
3513,12
3521,12
3530,12
3531,12
3537,12
3553,14
3595,12
3602,12
3612,52
3626,12
3633,12
3638,12
3641,12
3642,12
3651,12
3655,12
3661,52
3665,12
3668,12
3684,12
3688,12
3696,12
3699,12
3701,12
3706,12
3714,12
3750,14
3760,12
3764,12
3774,12
3787,12
3795,12
3800,12
3819,12
3820,52
3824,12
3843,46
3846,12
3853,12
3857,14
3858,12
3871,14
3891,12
3907,14
3908,12
3913,12
3945,12
3957,12
3963,12
3977,12
3984,12
3995,12
3996,34
4006,12
4014,12
4016,12
4026,52
4029,12
4041,12
4047,12
4053,12
4055,12
4062,34
4066,12
4068,34
4092,12
4100,12
4126,12
4128,14
4192,12
4196,14
4223,12
4233,12
4239,34
4244,34
4251,12
4252,12
4253,14
4258,14
4263,12
4264,34
4273,12
4282,12
4285,12
4287,12
4291,12
4293,12
4307,12
4311,12
4317,12
4319,12
4320,12
4327,12
4341,34
4342,12
4359,12
4361,12
4363,12
4369,12
4398,12
4400,12
4402,12
4404,12
4405,47
4407,12
4415,9
4422,12
4427,14
4429,12
4436,12
4443,12
4474,11
4494,14
4505,12
4523,12
4527,12
4539,12
4544,12
4551,12
4555,34
4556,14
4574,39
4579,14
4583,12
4606,12
4619,14
4620,12
4632,14
4644,12
4645,12
4667,12
4687,12
4689,14
4696,12
4698,14
4703,12
4721,12
4737,12
4745,14
4750,34
4757,12
4769,12
4774,12
4776,14
4780,12
4789,12
4791,12
4797,12
4806,12
4815,12
4822,14
4826,12
4832,12
4862,12
4865,12
4878,12
4881,12
4884,12
4891,12
4902,12
4909,12
4915,14
4920,12
4923,52
4929,12
4931,12
4936,12
4938,12
4944,52
4948,12
4949,12
4956,14
4959,34
4970,14
4979,46
4985,12
4988,12
4998,12
5012,12
5013,12
5014,12
5020,12
5024,14
5026,12
5027,52
5033,14
5055,12
5080,12
5081,12
5086,12
5090,34
5091,52
5092,12
5121,12
5122,12
5127,12
5131,14
5136,14
5146,26
5147,12
5149,12
5166,12
5169,12
5170,52
5172,12
5173,12
5175,12
5176,12
5181,12
5187,12
5199,14
5200,12
5201,12
5222,12
5230,12
5231,12
5235,12
5266,12
5272,12
5278,12
5282,12
5291,12
5303,12
5304,12
5318,12
5337,12
5338,34
5341,12
5345,12
5350,52
5359,12
5362,12
5363,12
5392,52
5393,34
5414,14
5418,52
5432,12
5444,12
5447,14
5451,12
5453,14
5468,12
5472,12
5478,12
5481,12
5482,12
5486,12
5512,12
5550,12
5564,12
5578,12
5586,12
5626,12
5632,12
5646,12
5649,12
5652,12
5670,14
5693,12
5705,34
5724,12
5725,12
5730,52
5734,52
5743,52
5747,12
5749,12
5761,12
5763,12
5769,12
5773,12
5777,12
5779,14
5799,12
5819,14
5839,14
5843,12
5856,12
5857,12
5858,52
5861,52
5890,12
5902,12
5908,14
5909,12
5924,12
5928,14
5929,12
5935,12
5959,12
5961,52
5967,12
5969,14
5971,12
5978,52
5981,12
5991,12
6012,12
6021,12
6025,12
6027,12
6028,52
6032,12
6048,12
6050,14
6067,12
6069,34
6071,12
6072,34
6078,12
6082,34
6085,12
6087,12
6088,12
6096,12
6097,12
6103,12
6110,34
6127,12
6133,12
6145,46
6150,12
6160,12
6169,12
6181,12
6188,52
6193,12
6213,12
6218,12
6220,12
6221,12
6225,14
6231,12
6232,12
6251,14
6253,14
6255,12
6272,12
6288,12
6298,12
6319,12
6357,12
6369,12
6374,12
6384,52
6391,12
6393,12
6396,12
6424,12
6425,12
6458,14
6467,12
6470,12
6472,12
6529,12
6541,14
6542,12
6557,12
6573,12
6575,12
6577,12
6590,12
6593,12
6594,12
6602,12
6603,12
6620,12
6628,12
6630,34
6631,12
6665,12
6670,14
6675,12
6696,12
6698,12
6701,34
6704,12
6720,12
6722,12
6732,12
6738,12
6747,14
6751,12
6763,12
6769,12
6780,34
6784,12
6787,14
6788,12
6791,12
6794,12
6797,12
6814,12
6815,12
6816,12
6823,12
6827,12
6829,6
6838,34
6852,14
6853,12
6854,12
6858,12
6864,12
6865,12
6879,12
6884,12
6886,12
6910,12
6912,14
6918,12
6919,12
6926,12
6933,12
6943,12
6946,12
6947,12
6951,12
6956,14
6963,12
6964,12
6965,12
6970,14
6981,12
7006,12
7021,12
7051,12
7054,12
7060,14
7070,12
7079,12
7085,12
7106,12
7108,34
7110,12
7115,12
7118,11
7133,12
7135,12
7140,12
7144,12
7150,14
7153,52
7167,12
7177,12
7190,12
7192,14
7196,14
7206,12
7213,12
7214,12
7221,12
7223,12
7231,12
7246,12
7256,12
7262,12
7270,12
7287,52
7289,12
7298,52
7311,12
7313,14
7334,12
7335,12
7347,12
7356,14
7359,14
7398,12
7399,34
7405,52
7424,14
7426,12
7433,12
7437,52
7438,12
7445,12
7451,12
7459,12
7488,12
7489,52
7492,12
7519,14
7523,12
7527,52
7551,12
7579,14
7580,14
7586,12
7610,12
7614,52
7615,12
7619,12
7622,12
7627,12
7638,12
7641,12
7644,52
7646,12
7648,12
7649,12
7654,14
7665,12
7671,12
7716,12
7717,52
7722,12
7724,12
7734,12
7755,12
7765,12
7768,12
7775,12
7797,12
7804,12
7812,34
7834,12
7845,12
7857,34
7868,52
7879,34
7895,12
7906,12
7908,14
7911,12
7913,34
7922,12
7927,14
7928,12
7929,12
7931,12
7949,12
7961,12
7962,12
7989,14
8004,12
8009,11
8031,34
8033,12
8052,12
8061,14
8070,12
8074,14
8076,12
8096,34
8109,12
8118,12
8123,12
8128,34
8144,12
8145,12
8149,12
8157,12
8164,12
8170,12
8171,52
8174,34
8182,34
8186,12
8187,14
8198,12
8202,12
8220,14
8223,12
8229,12
8234,12
8250,12
8263,12
8271,14
8272,12
8273,12
8288,12
8294,52
8309,14
8319,12
8320,12
8336,12
8354,12
8356,12
8370,14
8386,12
8389,12
8396,12
8405,12
8406,14
8408,12
8418,12
8429,12
8442,12
8443,12
8447,12
8454,12
8456,12
8462,12
8466,14
8476,12
8491,12
8496,12
8497,12
8532,14
8538,14
8541,26
8547,12
8550,12
8552,12
8562,14
8566,12
8569,12
8572,26
8589,12
8590,14
8602,39
8603,12
8605,12
8609,12
8613,12
8616,12
8632,12
8637,12
8639,12
8650,12
8651,12
8675,12
8678,12
8683,12
8715,12
8717,14
8721,12
8745,12
8749,26
8757,12
8763,12
8780,12
8782,12
8787,12
8789,52
8793,12
8794,12
8795,12
8797,34
8812,12
8826,12
8830,12
8831,12
8844,12
8867,12
8876,12
8890,12
8894,12
8898,12
8904,12
8911,12
8912,12
8921,12
8927,12
8938,12
8946,52
8956,12
8965,12
8979,12
8981,12
8983,14
9015,12
9025,12
9027,12
9028,12
9037,34
9039,12
9046,12
